condition,position,frame,flow_u,flow_v,magnitude
RIF10,206,82,0.32658324,-0.5259615,0.3288343
RIF10,206,84,-3.0751355,-5.8660445,1.6970783
RIF10,206,86,-0.12792808,-0.35505778,0.1980873
RIF10,206,88,0.45175612,-0.40277785,0.39815527
RIF10,206,90,-0.3558893,-2.2865963,1.3435005
RIF10,206,92,1.1819292,-1.1776308,0.3253844
RIF10,206,94,1.2267002,-0.21662706,0.25414556
RIF10,206,96,-0.14464614,-0.0224775,0.16057882
RIF10,206,98,0.1701639,-0.13850443,0.20062663
RIF10,206,100,-0.40661454,-0.5235857,0.2605241
RIF10,206,102,-0.01018009,0.19473557,0.22636995
RIF10,206,104,0.9668582,-2.6248474,0.96125865
RIF10,206,106,-0.38681957,-0.26988864,0.2328703
RIF10,206,108,-0.073485576,-0.21056083,0.17176762
RIF10,207,0,4.011034,1.585921,1.201466
RIF10,207,2,-0.26725334,-1.5119327,1.2177118
RIF10,207,4,-0.3923201,-0.21743263,0.88684195
RIF10,207,6,-0.93892634,-1.6517817,1.8372402
RIF10,207,8,0.053875256,0.12984222,0.9613964
RIF10,207,10,-0.41507074,1.502342,1.196345
RIF10,207,12,4.788476,2.8355246,2.3416984
RIF10,207,14,-0.75834996,-1.1266639,1.0698045
RIF10,207,16,-0.5759453,2.698527,2.3892133
RIF10,207,18,-1.0998257,-0.96135014,1.1115593
RIF10,207,20,1.1257188,1.2902681,1.6312666
RIF10,207,22,1.3680189,4.558241,2.7092342
RIF10,207,24,3.5512302,2.4002922,2.5338836
RIF10,207,26,1.3626107,-0.007457205,1.4341601
RIF10,207,28,2.2509952,1.1826735,2.0009375
RIF10,207,30,-3.3531184,0.20293139,9.076552
RIF10,207,32,1.5800815,-0.93577456,1.9173855
RIF10,207,34,-0.61094385,-0.2967721,0.6401204
RIF10,207,36,-0.3362351,-2.4380918,1.0934676
RIF10,207,38,-0.39070964,-0.09204751,0.91107076
RIF10,207,40,-1.0755957,1.798207,1.3343997
RIF10,207,42,-0.6486406,0.13271606,0.61884093
RIF10,207,44,-6.3481517,0.8844341,1.4253842
RIF10,207,46,-0.70954853,0.32992762,0.6320105
RIF10,207,48,2.4867857,-5.6681714,2.7240543
RIF10,207,50,0.6345962,-1.0493498,2.1607149
RIF10,207,52,0.4305758,-0.4625799,1.2384084
RIF10,207,54,-0.20332217,-0.1971062,1.2771937
RIF10,207,56,0.46668613,-0.18980113,0.67236
RIF10,207,58,-0.25934824,0.36822474,0.58426124
RIF10,207,60,1.476538,-0.91867715,0.77949256
RIF10,207,62,-0.22639917,-0.3348862,0.4733095
RIF10,207,64,-0.28823283,0.13206078,0.33996016
RIF10,207,66,-0.026061188,-3.0064304,0.882031
RIF10,207,68,-0.55972564,0.23515485,0.49634507
RIF10,207,70,-0.31580675,0.07985482,0.42486003
RIF10,207,72,1.3974113,2.195016,0.6488552
RIF10,207,74,1.9888991,-3.1733923,0.9307672
RIF10,207,76,1.7367878,-0.39911327,1.1233671
RIF10,207,78,0.23069046,0.31407633,0.4708986
RIF10,207,80,-0.13907449,-0.1666485,0.3327702
RIF10,207,82,-0.22750813,-0.5518531,0.47859338
RIF10,207,84,2.770679,1.8564173,1.170529
RIF10,207,86,2.167602,-4.3809633,1.8309288
RIF10,207,88,1.100771,-2.0700486,1.245863
RIF10,207,90,-0.78285056,-1.382038,0.7249608
RIF10,207,92,0.018810743,-0.21728085,0.47386676
RIF10,207,94,-0.24341069,-0.32819104,0.34072807
RIF10,207,96,-0.11251471,-0.48127156,0.39085674
RIF10,207,98,0.41576785,-1.0831021,0.80745214
RIF10,207,100,1.4381326,-2.5820227,1.244327
RIF10,207,102,0.22656003,2.0923433,1.1115553
RIF10,207,104,0.70180196,-2.7049453,2.0240211
RIF10,207,106,1.0079976,-0.74759144,1.1050179
RIF10,207,108,-0.1368847,-0.089752354,0.39666414
RIF10,208,0,-0.031951897,-0.37026998,0.27786717
RIF10,208,2,-0.38742614,0.7208514,0.32373354
RIF10,208,4,-0.12326239,-0.16226746,0.23484822
RIF10,208,6,-0.22581683,0.08443157,0.20085318
RIF10,208,8,-0.24948792,-0.16491716,0.19706678
RIF10,208,10,0.6972418,-0.86706614,0.27681392
RIF10,208,12,-0.21831189,-0.47825217,0.31854138
RIF10,208,14,-0.1813155,-0.39421675,0.36906752
RIF10,208,16,-0.3682397,-0.20916468,0.30240497
RIF10,208,18,0.19980498,0.062325522,0.26534578
RIF10,208,20,0.4839147,0.31576282,0.36978883
RIF10,208,22,2.266739,5.815448,1.6283039
RIF10,208,24,0.5406925,-1.3239446,0.5840857
RIF10,208,26,-0.80069697,-1.2271091,0.659948
RIF10,208,28,-0.4605765,-0.42000654,0.5017813
RIF10,208,30,4.328055,1.173034,5.090139
RIF10,208,32,-0.68866867,1.0623903,0.8401117
RIF10,208,34,-0.2770171,-0.74128866,0.631313
RIF10,208,36,0.34426084,-0.18629748,0.7783936
RIF10,208,38,2.7959168,-1.0009329,0.800492
RIF10,208,40,0.015418884,-0.011951304,0.33993226
RIF10,208,42,2.3157334,-2.4352508,1.6015468
RIF10,208,44,-0.17790061,-0.12731105,0.27091494
RIF10,208,46,6.6953793,-12.274661,1.8725048
RIF10,208,48,-0.0381915,0.017181182,0.27304673
RIF10,208,50,0.19392239,0.05596563,0.45243832
RIF10,208,52,2.4163313,-1.0342059,0.6452071
RIF10,208,54,1.7866361,-2.3805563,1.1340363
RIF10,208,56,8.8974905,-1.5591297,1.3959738
