condition,position,frame,flow_u,flow_v,magnitude
REF,109,84,-1.0846914,-1.9501643,1.9673778
REF,109,86,-0.9563912,-0.25916907,1.4377288
REF,109,88,-1.7021163,-4.4437413,3.4194233
REF,109,90,-2.9731228,0.49899402,2.9464958
REF,109,92,-0.53859293,0.26527393,2.200702
REF,109,94,-0.6280949,-2.2182083,2.4920897
REF,109,96,-0.85989887,-0.654324,2.1373596
REF,109,98,0.17406833,-1.8548552,3.0087445
REF,109,100,-3.4398518,-3.673526,2.9757593
REF,109,102,-0.6220866,0.20016295,2.218637
REF,109,104,-1.8118604,-0.9118027,2.7484667
REF,109,106,-1.9987048,0.9764298,1.7605714
REF,109,108,-1.895912,-1.2632004,2.3114238
REF,110,0,0.2896928,0.3571928,0.3702095
REF,110,2,-1.3937812,-0.8269695,0.56237876
REF,110,4,-0.73707545,-0.014538376,0.40471283
REF,110,6,-4.0736313,1.7456515,1.7598026
REF,110,8,-1.1455412,2.2973983,0.94402206
REF,110,10,-0.12524821,-0.3440672,0.44201252
REF,110,12,-0.95363617,0.23486029,0.70059484
REF,110,14,-0.43514335,0.13321587,0.33343658
REF,110,16,-0.5505856,-0.4265926,0.5691229
REF,110,18,0.06135378,0.71871334,0.6070816
REF,110,20,0.5139637,-0.03719993,0.36278433
REF,110,22,0.56615597,1.6186303,0.76724285
REF,110,24,-1.8247015,1.056711,0.65234965
REF,110,26,-0.18784484,-0.21225433,0.35027352
REF,110,28,-0.18094085,-0.20828001,0.3033448
REF,110,30,1.296589,1.0654278,2.2248418
REF,110,32,-0.64021516,6.831899,0.91690946
REF,110,34,-0.25983876,0.20170105,0.33609372
REF,110,36,-0.20726748,-0.002527137,0.4002942
REF,110,38,0.774846,-0.8018064,0.53985083
REF,110,40,-0.06420349,-0.948872,0.48334083
REF,110,42,0.43373078,-0.40701666,0.6245736
REF,110,44,0.2686523,-0.12658675,0.4751123
REF,110,46,-0.10189391,0.52972037,0.35400745
REF,110,48,-0.93227375,-1.8154438,0.5916924
REF,110,50,-0.16692737,0.037212536,0.41840214
REF,110,52,-0.66467404,-0.6103122,0.48223093
REF,110,54,0.14523903,-0.66295743,1.1569206
REF,110,56,-0.1632654,-1.2461187,0.6873751
REF,110,58,-1.5978061,-1.3214078,1.4072459
REF,110,60,-1.9239205,0.4641209,1.8191441
REF,110,62,0.32254243,2.255592,1.5433874
REF,110,64,-0.49496263,1.6235548,0.694166
REF,110,66,-0.50119025,0.35481167,0.7488637
REF,110,68,-0.7813531,-1.2726413,0.6689411
REF,110,70,0.06628448,-3.5023613,1.8072454
REF,110,72,4.944194,-5.7758203,1.7038728
REF,110,74,0.03844932,0.21743494,1.0111004
REF,110,76,-1.114698,0.4965325,0.85070103
REF,110,78,-1.6155574,0.09672864,1.7473434
